work_order_id,vehicle_id,service_date,service_type,parts_replaced,labour_hours,cost_inr,downtime_hours,failure_reported,technician_id
WO-000001,VEH-0475,2024-05-14 00:00:00,Battery Pack Swap,"Motor, ESC",4.9,"38,026.84",19.7,yes,TEC-015
WO-000002,VEH-0475,27/05/2024 00:00,Battery Pack Swap,,6.9,INR 3248.84,20.3,N,TEC-185
WO-000003,VEH-0632,12-12-2024,Routine Inspection,NA,2.9,17940.67,59.7,yes,TEC-072
WO-000004,VEH-0632,10-04-2025,Battery Pack Swap,,0.7,INR 34331.71,73.7,no,TEC-203
WO-000005,VEH-0562,12-12-2024,Motor Overhaul,"Brake Pads, Fluid",1.8,"23,779.23",47.2,no,TEC-067
WO-000006,VEH-0562,2024-08-08 00:00:00,Propeller Replacement,,4.8,INR 15061.16,81.3,,TEC-065
WO-000007,VEH-0562,09/03/2025 00:00,Propeller Replacement,"Brake Pads, Fluid",3.1,"11,186.15",57.3,yes,TEC-145
WO-000008,VEH-0562,04/06/2024 00:00,Frame Repair,,11.3,"24,178.97",38.1,Y,TEC-103
WO-000009,VEH-0652,01/07/2024 00:00,Firmware Update,Battery Pack,11.0,"46,944.87",5.2,,TEC-091
WO-000010,VEH-0652,24/10/2024 00:00,Motor Overhaul,,10.5,43895.28,38.0,no,TEC-130
WO-000011,VEH-0652,09/05/2024 00:00,Landing Gear Fix,Propeller x2,3.3,39747.03,41.2,no,TEC-096
WO-000012,VEH-0652,2025-03-10 00:00:00,Landing Gear Fix,NA,3.5,"38,791.85",30.0,no,TEC-076
WO-000013,VEH-0333,29/08/2024 00:00,Frame Repair,Landing Skid,13.4,INR 34503.72,92.2,Y,TEC-042
WO-000014,VEH-0333,2024-04-01 00:00:00,Battery Pack Swap,Battery Pack,1.2,"3,615.50",24.4,,TEC-100
WO-000015,VEH-0540,22/09/2024 00:00,Engine Service,Landing Skid,3.3,INR 16818.55,82.5,N,TEC-174
WO-000016,VEH-0540,30/07/2024 00:00,Tyre Change,,6.0,16138.0,67.5,yes,TEC-103
WO-000017,VEH-0540,2025-03-29 00:00:00,Engine Service,Propeller x2,5.7,"17,260.20",7.9,,TEC-127
WO-000018,VEH-0540,09-02-2024,Routine Inspection,,4.6,INR 38695.39,36.3,no,TEC-039
WO-000019,VEH-0540,03/04/2024 00:00,Firmware Update,Propeller x2,2.6,"24,792.95",49.7,N,TEC-200
WO-000020,VEH-0540,2024-02-07 00:00:00,Landing Gear Fix,"Brake Pads, Fluid",1.6,44619.43,95.2,,TEC-172
WO-000021,VEH-0310,21/11/2024 00:00,Frame Repair,Battery Pack,11.0,"34,790.23",60.2,N,TEC-102
