product_id,product_name,category,sub_category,is_fragile,is_hazmat,requires_cold_chain,stock_qty,avg_rating,tags,launch_date,weight_kg,battery_included,currency,price_inr,specs.dimensions_cm.length,specs.dimensions_cm.width,specs.dimensions_cm.height
PRD-00453,Zenith Saree 2024,Apparel,Saree,False,False,False,230,3.38,bestseller,2022-07-04,0.74,,INR,93078.54,,,
PRD-00517,Nexon Running Shoes Pro,Apparel,Running Shoes,False,False,False,407,3.3,"fragile-handle, clearance",2020-11-27,0.89,False,INR,133860.89,102.9,115.1,3.5
PRD-00524,Meridian Saree Max,Apparel,Saree,False,False,False,536,2.71,"eco, new, fragile-handle",2022-06-17,0.79,,INR,25610.55,145.0,50.6,25.1
PRD-00190,Kaveri Microwave,home appliance,Microwave,False,False,False,331,4.37,"premium, new",2022-03-15,43.13,True,INR,163381.89,17.2,87.9,9.9
PRD-00107,Meridian Smartphone Max,Electronics,Smartphone,False,False,False,596,2.83,,2023-10-07,1.28,,INR,157038.82,36.7,65.8,123.6
PRD-00063,UrbanCraft Headphones 2024,Electronics,Headphones,False,False,False,438,2.98,,2023-04-19,2.41,,INR,27962.75,144.8,75.7,107.5
PRD-00794,Meridian Novel Classic,Books,Novel,True,False,False,359,4.17,"eco, bestseller",2023-10-24,1.35,,INR,104599.98,48.1,68.4,120.3
PRD-00444,Tamira Saree,Apparel,Saree,True,False,False,446,4.61,"fragile-handle, eco",2021-02-02,1.42,False,INR,29861.59,80.5,80.5,9.4
PRD-00377,Aravind Dry Fruits Lite,Groceries,Dry Fruits,False,False,False,546,3.56,,2021-05-14,6.04,False,INR,40947.97,156.2,91.9,65.4
PRD-00395,UrbanCraft Spice Pack Lite,Groceries,Spice Pack,False,False,False,869,3.58,premium,2022-02-09,7.23,,INR,150591.56,36.4,78.3,14.9
PRD-00680,Meridian Steel Coil Classic,Industrial,Steel Coil,False,True,False,248,3.11,"clearance, premium, bestseller",2022-08-12,3882.82,,INR,112502.53,17.4,94.6,122.8
PRD-00458,UrbanCraft Running Shoes,Apparel,Running Shoes,False,False,False,-11,2.53,"bestseller, eco",2021-06-08,1.47,False,INR,50929.68,62.9,7.1,77.7
PRD-00665,Kaveri Steel Coil Max,Industrial,Steel Coil,False,True,False,770,4.63,"premium, clearance, bestseller",2022-12-26,3009.54,,INR,146848.92,132.3,25.0,142.9
PRD-00336,UrbanCraft Rice Bag Lite,Groceries,Rice Bag,False,False,False,791,3.77,fragile-handle,2023-04-30,21.78,,INR,92991.6,86.0,18.1,4.2
PRD-00741,Nexon Motor Assembly Lite,Industrial,Motor Assembly,False,True,False,699,4.22,,2022-02-19,3901.35,True,INR,74728.7,77.3,74.5,85.6
PRD-00352,Nexon Spice Pack 2024,Groceries,Spice Pack,False,False,False,845,4.48,,2021-10-26,21.07,True,INR,141087.17,115.2,54.7,65.6
PRD-00391,Vayu Cooking Oil 2024,Groceries,Cooking Oil,False,False,False,887,4.76,,2022-10-31,22.38,True,INR,23158.92,149.7,46.1,136.7
PRD-00240,Vayu Recliner 2024,Furniture,Recliner,False,False,False,50,2.6,bestseller,2021-06-11,,,INR,173302.33,,,
PRD-00050,Meridian Laptop Pro,electronics,Laptop,False,False,False,113,4.52,bestseller,2023-06-24,0.62,True,INR,40359.28,51.9,90.7,116.7
PRD-00071,Vayu Smartphone Classic,Electronics,Smartphone,True,False,False,479,2.9,"bestseller, clearance",2023-02-20,2.61,False,INR,2383.95,112.5,71.8,115.5
PRD-00036,Nexon Laptop Pro,Electronics,Laptop,True,False,False,305,2.53,,2022-07-20,2.67,False,INR,109807.46,131.5,43.7,128.8
PRD-00654,Aravind Generator Unit Max,Industrial,Generator Unit,False,True,False,154,4.4,"bestseller, clearance, eco",2023-04-13,2682.38,False,INR,53480.67,20.1,112.7,23.9
PRD-00780,Kaveri Textbook 2024,Books,Textbook,False,False,False,180,3.19,"eco, bestseller, premium",2022-07-23,3.6,,INR,66257.61,112.4,21.7,123.4
PRD-00635,UrbanCraft Medical Kit 2024,Pharma,Medical Kit,False,True,False,641,4.22,"bestseller, new",2021-10-11,4.74 kg,True,INR,170460.19,177.6,10.3,31.7
PRD-00289,Zenith Bookshelf Classic,Furniture,Bookshelf,True,False,False,43,3.27,"premium, new",2022-04-26,31.09,False,INR,68405.29,20.4,51.3,83.3
PRD-00014,Aravind Smartphone Lite,Electronics,Smartphone,True,False,False,360,4.7,clearance,2023-01-01,2.99,,INR,152993.82,64.5,35.4,142.5
PRD-00573,Vayu Medical Kit Classic,Pharma,Medical Kit,False,True,True,161,3.89,"bestseller, premium",2021-11-04,0.39,,INR,16523.6,57.4,112.1,146.1
PRD-00133,Aravind Vacuum Cleaner Max,Home Appliance,Vacuum Cleaner,True,False,False,690,3.32,,2021-08-13,30.7,,INR,153449.58,93.3,113.2,25.2
PRD-00639,Vayu Generator Unit Pro,Industrial,Generator Unit,False,True,False,20,4.01,,2022-08-26,740.79,,INR,39419.41,48.2,105.1,134.7
PRD-00795,UrbanCraft Novel Classic,Books,Novel,False,False,False,43,4.52,,2021-02-11,3.18,True,INR,91824.93,65.8,117.4,67.9
PRD-00825,Nexon Novel Classic,Books,Novel,True,False,False,-8,4.93,"clearance, bestseller, new",2022-07-13,,,INR,184667.35,,,
PRD-00465,Nexon Saree,Apparel,Saree,False,False,False,823,4.75,"new, clearance",2023-09-23,,,INR,143547.81,,,
PRD-00482,Aravind T-Shirt,Apparel,T-Shirt,True,False,False,662,4.19,,2020-11-15,1810.0,,INR,64289.07,108.5,63.6,93.7
PRD-00806,Vayu Textbook Max,Books,Textbook,False,False,False,524,4.18,"fragile-handle, new, bestseller",2021-10-25,0.77,False,INR,187109.29,78.6,51.1,136.8
PRD-00204,UrbanCraft Vacuum Cleaner 2024,Home Appliance,Vacuum Cleaner,True,False,False,444,2.8,new,2022-08-03,14.93,,INR,137071.25,130.2,94.7,25.5
PRD-00323,Nexon Dry Fruits Max,Groceries,Dry Fruits,False,False,False,380,4.71,"fragile-handle, bestseller",2022-01-26,24.15,False,INR,28685.67,146.2,65.9,39.2
PRD-00678,Vayu Steel Coil,Industrial,Steel Coil,True,True,False,386,4.92,"eco, fragile-handle",2021-01-27,3869.32,False,INR,151377.82,100.3,29.2,29.6
PRD-00510,Zenith T-Shirt 2024,Apparel,T-Shirt,False,False,False,866,4.62,fragile-handle,2023-03-22,1.42,False,INR,166655.44,113.3,83.0,29.0
PRD-00461,Meridian Running Shoes Classic,Apparel,Running Shoes,False,False,False,830,4.63,"premium, fragile-handle",2021-07-11,0.62,True,INR,151493.18,155.9,49.5,34.1
PRD-00311,Kaveri Office Chair Max,Furniture,Office Chair,False,False,False,361,4.08,"eco, bestseller",2022-04-16,109.32,True,INR,3104.7,133.3,15.1,32.4
PRD-00475,Vayu Running Shoes,Apparel,Running Shoes,False,False,False,464,,,2020-03-10,0.79,,INR,172354.84,40.3,116.3,46.2
PRD-00139,Aravind Microwave 2024,Home Appliance,Microwave,False,False,False,507,4.75,fragile-handle,2023-03-15,11.74,False,INR,74495.47,156.7,65.2,137.6
PRD-00111,UrbanCraft Headphones,Electronics,Headphones,False,False,False,439,4.73,"clearance, new, bestseller",2020-10-12,2.54 kg,,INR,125986.09,121.1,80.8,137.1
PRD-00243,Zenith Bookshelf Lite,Furniture,Bookshelf,True,False,False,308,3.27,"fragile-handle, premium",2022-08-27,51.69,True,INR,183806.92,8.0,111.9,31.4
PRD-00087,Aravind Smartwatch 2024,Electronics,Smartwatch,True,False,False,819,4.02,bestseller,2021-12-13,0.56,,INR,4030.25,74.3,19.7,26.6
PRD-00605,Zenith Medical Kit Pro,Pharma,Medical Kit,True,True,True,78,2.66,"clearance, premium, eco",2022-12-23,2.44,False,INR,116281.08,153.0,24.6,99.0
PRD-00191,Tamira Microwave Lite,Home Appliance,Microwave,True,False,False,203,2.94,,2023-09-16,38.57,True,INR,96462.41,59.7,57.3,96.5
PRD-00708,Aravind Steel Coil Classic,Industrial,Steel Coil,False,True,False,739,2.96,bestseller,2022-04-15,3386.28,False,INR,53763.81,91.8,23.5,23.1
PRD-00130,Nexon Air Purifier 2024,Home Appliance,Air Purifier,True,False,False,580,4.54,"eco, clearance",2021-02-21,40.72,,INR,79016.16,169.7,94.9,41.3
PRD-00077,Aravind Tablet Max,Electronics,Tablet,True,False,False,746,4.03,"premium, bestseller, fragile-handle",2023-02-11,0.35,True,INR,48019.66,25.6,20.6,43.5
PRD-00830,Tamira Comic Set Classic,Books,Comic Set,False,False,False,743,3.75,"fragile-handle, premium",2021-05-03,0.8,True,INR,162880.94,114.5,55.3,82.1
PRD-00145,Vayu Mixer Grinder Classic,Home Appliance,Mixer Grinder,False,False,False,373,4.78,"clearance, bestseller",2020-10-04,5.03,False,INR,104030.86,19.2,29.1,37.0
